اللقب
الغربي
الهمامي
الشريف
الدريدي
العياري
الطرابلسي
حمدي
محمد
الماجري
العبيدي
السعيدي
العيادي
الرياحي
عمار
التركي
التومي
السلامي
الفريڨي
الجلاصي
كمون
الوسلاتي
بن عامر
العرفاوي
ساسي
الشابي
العمري
بن عبدالله
أحمد
العلوي
السويسي
بن سالم
بن صالح
المصمودي
منصور
قلال
عبدالله
حمزة
حداد
الرقيق
عياد
الصغير
قاسم
منصوري
الجبالي
الساحلي
خليل
شعبان
الڨاسمي
لسود
بلحاج
بن حسين
عبيد
بن علي
حسان
البحري
النصري
التريكي
العبيدي
السالمي
الزواري
التليلي
التونسي
البجاوي
الجويني
سالم
الفرشيشي
بلحاج
بن عمار
القروي
اليحياوي
فرحات
رزڨي
الحاج
الحمروني
أمين
ماهر
التواتي
الفوراتي
أيمن
عامر
حسين
المناعي
عمارة
بوبكر
العوني
شقرون
الكوكي
حسني
بن يوسف
غربال
بن أحمد 
المسعودي
الجريبي
الجربي
البوعزيزي
بن رمضان
بن سعيد
اللواتي
الخميري
الحاجي
عباس
الصالحي
عاشور
فرجاني
سلامة
محجوب
بن عياد
الميساوي
البوزيدي
سعيد
الحناشي
مرابط
بلڨاسم
حسين
الزريبي
داود
حبيب
المدب
كمون
الذوادي
الفقيه
عاطية
بسباس
البرهومي
بن منصور
النوري
المحمدي
صالح
الفخفاخ
الشعري
الحاج
الزواوي
الصيد
الشرفي
يوسف
سليم
مالك
الشارني
السلطاني
شاوش
صابر
مراد
الكافي
البكوش
مبارك
بن إبراهيم
الخليفي
الرباعي
الربعي
اللومي
حمودة
الخفيفي
العياشي
زروق
دمق
موسى
المهيري
رمضان
حشيشة
الحجري
فريخة
بوراوي
ثابت
الورتاني
معالى
خالد
خليفة
ناجي
الخياري
المزوغي
المولهي
الجوادي
الڨاسمي
البراهمي
بن عمارة
شعيب
البكلوطي
الجلاصي
الجماعي
دربال
مقني
اللوز
الجندوبي
الزيتوني
بن محمد
السنوسي
الڨابسي
السعداوي
بوخريص
البوزيدي
النفزي
الجزيري
وليد
ذويب
العباسي
الخراط
سيالة
