المهنة
معلم
معلمة
مدير
مديرة
طبيب
ممرض
ممرضة
طبيب بيطري
طبيبة بيطرية
طبيب جرّاح
طبيبة جرّاحة
طبيب الأسنان
طبيب الأمراض النفسية
طبيب الاطفال
شرطي
شرطية
جندي
دركي
موظف
موظفة
صيدلي
صيدلية
محاسب
محاسبة
سكرتير
سكرتيرة
شرطي المرور
مصرفي
مؤذّن
راعي الغنم
بقال
نجار
اسكافي
خياط
خياطة
حلاق
حلاقة
جزّار
خزّاف (صانع الفخّار
قفّال (صانع الأقفال
لحّام
نحّات
حرفي
نحّال
صائغ
خباز
خبازة
طباخ
طباخة
خادم
خادمة
حكم
نقابي
عامل المنجم
سباك
بواب
اطفائي
ربة بيت
مولدة
سمّاك (بائع السمك
عامل محطة الوقود
حطّاب
مبرمج
مطور
مصمم
عامل
فلاح
نادل
نادلة
كهربائي
شاعر
تقني
راقص
راقصة
لاعب
ربّان الطائرة
ملمع الأحذية
مضيف
مضيفة طيران
ممثل
ممثلة
ميكانيكي
أمين المكتبة
مهندس
مهندس معماري
محامي
محامية
كاتب
فنان
قائد الفرقة الموسيقية
مصور
رسام
مهرج
ساحر
كوميدي
مغني
مغنية
موسيقي
موسيقية
مؤلف
ملحن
قبطان
عامل نظافة
صياد
موظف استقبال
موظفة استقبال
قناص
بائع
بائعة
بحار
بستاني
قرصان
رائد فضاء
ملاكم
كاتب عدلي أو موثق
ساعي البريد
لص
لصة
جاسوس
قاضي
بناء
بواب
صرّاف
صرّافة
حدّاد
مفتش
مخرج
سائق
سائق القطار
طحان
رجل أعمال
سيدة أعمال
مدلك
مدلكة
تلميذ
عالم
كميائي
صحفي
صحفية
طالب
طالبة
بواب
حداد
بائع الصحف
ساعاتي
صانع أحذية
صابغ الأحذية
مناوب
صيدلي
فرَان  خبَاز
مُهندس
دكتور  طبيب
طبيب أسنان
محامي
خيَاط
خيََاط
خياط قمصان
إسكافي
منجد
حلاق
حلاق  كوافير
حجَام (حجامة
حارس  ناطور
حارس الحي
حارس القرية
حارس الشارع
حارس مرمى
بقَال
جوهرجي (بائع المجوهرات
ممثل  فنان
محاسب
صائغ
مصور
كمسيونجي
عامل نظافة
السمكري
خضرجي (بائع خضروات
بائع التذاكر
بائع بهارات
بائع الزهور
بائع جوال
بائع الذهب
حطاب
مطرب  مغني
معلم
سائق
ممرضة
رسام
دهان
نادل
لحام  قصاب
