الإسم
أحمد
أيمن
إسلام
أمجد
الناس
أسعد
أشرف
أيهم
أدهم
آدم
إبراهيم
أنس
أنور
أمير
أمين
إياد
براء
باهي
بهير
باسم
بسام
بلال
باسل
بحر
بيجاد
بكار
بكير
بهجت
تامر
تحسين
توجان
تيم
تميم
تمّام
تركي
ثامر
ثُنيان
ثوبان
ثروت
جمال
جاسم
جاسر
جابر
حَاتِم
حارث
حازم
حاجب
حافظ
حاذق
حاسب
حارم
حاطب
حاكم
حبيب
حبيب الله
حبيس
حامد
حجّاج
حام
حَبَّان
حريص
حسّان
حَسَن
حسيب
حَسُّون
حَقّي
حكيم
حليم
حمزة
حنفي
حنظلة
حيدر
حذيفة
حسام
حلمي
خاتَم
خازن
خاطر
خالِد
خاطِب
خبير
خبّاب
خُضير
خطيب
خلف
خلاّد
خليفة
خليل
خير الله
خُبيب
دالي
دائب
داغر
دانيال
دِينار
دِياب
رامي
رائد
رفيق
رشيد
رياض
راسم
راشد
راغب
رائف
رأفت
رشاد
رشدي
رشوان
رسال
رسان
رسين
زايد
زاهر
زياد
زهران
زيد
زيدان
زين
سمير
سفيان
ساجد
سامح
سامي
سامر
سليم
سلمان
سليمان
سائد
سيف
شمس
شاكر
شاهين
صالح
صلاح
صاعد
صهيب
صابر
ضامن
ضُرغام
ضيف
ضِرار
ضياء
ضِمام
طه
طارق
طائل
طلعت
طاهر
علي
عاصي
عاصم
عابد
عامر
عاطف
عمر
عمرو
عمار
غازي
غاسق
غالي
غانم
غريب
غامد
غسّان
غضنفر
غفور
غنام
غلاب
غياث
فايز
فراج
فياض
فائق
فاخر
فاتح
فادي
فاضل
فاروق
فاطن
فايد
فتاح
فخري
فريد
فضيل
فصيح
فضل
فهمي
قاهر
قائد
قابوس
قادر
قاهي
قاسم
قبس
قحطان
قتادة
قرين
قرير
قسورة
قنوت
قيصر
قُحافة
قُتيبة
قُدامة
قُريش
قُطب
كاظم
كاسب
كامل
كثيب
كانز
كاشف
كرم
كريم
كعب
كهير
كنعان
كُلثوم
كِنان
لامي
لاهج
لائق
ليث
لادن
لبيب
لطيف
لبيق
لهيف
لُباب
لؤي
مُحمَد
محمود
مُوسَى
مُبشِّر
مالك
مُؤمِن
مُنير
مهند
مُراد
مؤنس
مَهْدِي
مًنصُور
مُعْتصم
مُنصف
مُسعد
مُحْرِز
مَحفُوظ
مجد
مُجاهد
مَشَاري
مِهار
مُهاب
مُصعب
مروان
نبيه
نجد
نديم
نائل
ناثر
ناجي
نواف
نذير
هذيل
هادي
هاشم
هاني
هايب
هبّار
هدّاب
هدهاد
همذان
همّام
هيكل
وسام
وئام
والي
وليد
وائل
يوسف
ياسين
جبريل
سراج
ضياء
خالد
حمزة
إدريس
مكين
معتصم
يونس
يامن
أيوب
عثمان
سعد
جلال
صادق
نور
أسامة
يحيى
فرقان
آزر
إبراهيم
آدم
أحمد
إحسان
إدريس
إسحاق
إسماعيل
أيوب
باسط
بُرهان
بصير
ثابت
ثاقب
ثمود
جمعة
داود
رزق
رضوان
زكريا
سليم
سليمان
شهاب
صابر
طه
لوط
مرجان
مبارك
ناصح
هارون
هامان
يعقوب
بديع
يحيى
ياقوت
كنان
أنجين
خاير
إيزل
أوزجان
بوراك
كيفانش
سيشكين
بايزيد
ياوز
يلماز
نيار
فاتح
غانم
غازي
فايز
فرحان
فهد
فيصل
بدر
فؤاد
مبارك
مشاري
مشعل
ميثم
مناف
نايف
نواف
نصار
عزت
توفيق
دياب
زكي
سالم
رزق
رفعت
إسماعيل
حمدي
حلمي
حسين
صدقي
حسن
حسام
حاتم
فِرَاس
تامر
نَوْفَل
مُعاذ
سُهَيْل
راجي
ساهر
إلهامي
باهر
نيروز
غيث
رائف
سنمار
صفوان
نيار
أيهم
جاد
سِنان
ساجي
راني
آزاد
رويد
قصي
هجرس
أخزم
أرغد
أصف
أرسلان
أميد
أنمار
أنورين
أورور
أوس
أدولف
أصهب
أصيل
أشهب
أليف
إيهم
إيفان
إبان
إياس
إلياس
إباء
آمر
الهامي
بادي
بارق
باقر
بجاد
بسمان
تالد
تياهر
تيم
تقي
تميم
ثامر
ثائب
ثاقب
جوان
جود
جون
حيان
خاطر
داني
دارا
دايل
دسيم
دلير
دهام
ذمار
راسل
راني
رهيفر
رواح
رواد
ريسان
رابي
رازي
رافل
رائف
ربيال
رجوان
رحال
رجائي
زيان
ساري
سامد
ساهد
سطام
سادن
سنمار
شادن
شهدان
صوان
ضاوي
ضرغام
عليان
فهار
فاهد
فروان
فداء
قابل
كادي
كافور
كلدة
كليم
كنان
كاسب
لامي
لهيف
ليمان
ليمه
لورانس
مزن
منهل
مياد
ميار
مياس
نائل
نيار
نيروز
نارفين
نيار
نايف
نوري
هتان
هيمان
واسل
وثيل
يامن
يزن
ينال
لؤ
بسام
كاظم
مهند
تركير
عادل
مروان
تامر
حيدر
راجح
ريان
صفوان
طاهر
عمار
غسان
فراس
كامل
كريم
مشاري
